TimeStamp - 2021-03-10_11-29-07-119   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package TDP - 13.683065029832434524909480749   |    Max Core Frequency - 2.2508456969333274888084499557   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 90   |    Processor Cache Frequency - 2.1962430898139946855624446412   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.1215449069973427812223206
TimeStamp - 2021-03-10_11-29-08-797   |    CPU Utilization - 100   |    Memory Utilization - 3827   |    Package TDP - 12.863528723804441245463833891   |    Max Core Frequency - 2.2431733760818465372930328305   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 87   |    Processor Cache Frequency - 2.5933580736823425022182786158   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.6050612765957446808510638
TimeStamp - 2021-03-10_11-29-10-281   |    CPU Utilization - 100   |    Memory Utilization - 3827   |    Package TDP - 12.921967319387020904473271377   |    Max Core Frequency - 2.2930704683423118975168085107   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.2943799516312056737588652482   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1047.4343257446808510638297872
TimeStamp - 2021-03-10_11-29-11-848   |    CPU Utilization - 100   |    Memory Utilization - 3831   |    Package TDP - 14.087792334760369486391316479   |    Max Core Frequency - 2.2095879223563432514453333334   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 91   |    Processor Cache Frequency - 2.3931527680000000000000000001   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.8616853333333333333333334
TimeStamp - 2021-03-10_11-29-13-426   |    CPU Utilization - 100   |    Memory Utilization - 3830   |    Package TDP - 13.662213430447591683701192413   |    Max Core Frequency - 2.4018283110171028883353416816   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.2950879438998211091234347049   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.9890932152347209920283436
TimeStamp - 2021-03-10_11-29-14-570   |    CPU Utilization - 100   |    Memory Utilization - 3829   |    Package TDP - 13.717287531260460368757949459   |    Max Core Frequency - 2.2731621419225271022836879432   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.3925314893617021276595744680   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.5769326241134751773049645
TimeStamp - 2021-03-10_11-29-16-328   |    CPU Utilization - 100   |    Memory Utilization - 3828   |    Package TDP - 13.717287531260460368757949459   |    Max Core Frequency - 2.3944090307179563461621863354   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.4950765252883762200532386868   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8336711268855368234250222
TimeStamp - 2021-03-10_11-29-18-185   |    CPU Utilization - 100   |    Memory Utilization - 3823   |    Package TDP - 13.697506283794108384107758447   |    Max Core Frequency - 2.27461012401698112837567943   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 1.7966360522885129118432769367   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.9442541763134461264470169
TimeStamp - 2021-03-10_11-29-19-538   |    CPU Utilization - 100   |    Memory Utilization - 3816   |    Package TDP - 12.994651432203219692968065761   |    Max Core Frequency - 2.1539937278614398860768349688   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.5949300528813559322033898305   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8550223728813559322033898
TimeStamp - 2021-03-10_11-29-21-306   |    CPU Utilization - 100   |    Memory Utilization - 3827   |    Package TDP - 13.11688384609480037253297655   |    Max Core Frequency - 2.3568821207818729921645714286   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.4944077692990239574090505768   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.5394184915705412599822538
TimeStamp - 2021-03-10_11-29-22-534   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package TDP - 13.85920387261565687196084662   |    Max Core Frequency - 2.2716761960172780416341352313   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.1960414765836298932384341636   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.0207382918149466192170818
TimeStamp - 2021-03-10_11-29-24-117   |    CPU Utilization - 100   |    Memory Utilization - 3821   |    Package TDP - 13.542474730865997783674623709   |    Max Core Frequency - 2.4070899746239567316690053476   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 90   |    Processor Cache Frequency - 2.4923752620320855614973262032   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.6451152941176470588235294
TimeStamp - 2021-03-10_11-29-25-636   |    CPU Utilization - 100   |    Memory Utilization - 3820   |    Package TDP - 13.433718211308909792197381215   |    Max Core Frequency - 2.2410662392061733255188327402   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.2951515519711971197119711971   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.6811770297029702970297030
TimeStamp - 2021-03-10_11-29-27-058   |    CPU Utilization - 100   |    Memory Utilization - 3819   |    Package TDP - 13.771987224679585797717330436   |    Max Core Frequency - 2.3124969572042538674450863759   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 88   |    Processor Cache Frequency - 2.3928022559572573463935886021   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.7010339804096170970614426
TimeStamp - 2021-03-10_11-29-28-571   |    CPU Utilization - 100   |    Memory Utilization - 3818   |    Package TDP - 13.947987696857130216140536937   |    Max Core Frequency - 2.3170446635993844610864321961   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 1.9962905560804899387576552932   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.9598058442694663167104113
